,10号线,11号线,12号线,13号线,14号线,15号线,16号线,17号线,18号线,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,市域机场线,浦江线,磁浮线
10号线,37,1,2,1,1,0,0,1,1,1,3,1,2,0,1,0,2,0,1,0,0
11号线,1,40,1,1,2,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
12号线,2,1,32,2,0,1,0,0,1,3,1,1,2,0,1,1,1,2,0,0,0
13号线,1,1,2,31,1,1,1,0,1,1,1,1,1,0,1,2,1,1,0,0,0
14号线,1,2,0,1,30,1,0,0,1,1,2,1,2,0,1,1,1,1,0,0,0
15号线,0,1,1,1,1,30,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0
16号线,0,1,0,1,0,0,13,0,1,0,1,0,0,0,0,1,0,0,0,0,1
17号线,1,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0
18号线,1,1,1,1,1,0,1,0,26,0,1,1,0,0,1,1,1,1,0,0,1
1号线,1,1,3,1,1,1,0,0,0,28,1,2,2,1,0,1,1,1,0,0,0
2号线,3,1,1,1,2,1,1,1,1,1,31,1,2,0,1,2,1,1,2,0,2
3号线,1,1,1,1,1,1,0,0,1,2,1,29,10,0,0,1,1,1,0,0,0
4号线,2,1,2,1,2,0,0,0,0,2,2,10,26,0,2,2,1,2,0,0,0
5号线,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0
6号线,1,1,1,1,1,0,0,0,1,0,1,0,2,0,28,1,1,1,0,0,0
7号线,0,0,1,2,1,1,1,0,1,1,2,1,2,0,1,33,1,1,0,0,1
8号线,2,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,30,1,0,1,0
9号线,0,1,2,1,1,1,0,0,1,1,1,1,2,0,1,1,1,35,1,0,0
市域机场线,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,7,0,1
浦江线,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
磁浮线,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,2
