时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,1.0
5,4,2.0
5,5,5.0
5,6,8.0
5,7,11.0
5,8,2.0
5,9,14.0
5,10,14.0
5,11,36.0
6,0,25.0
6,1,27.0
6,2,38.0
6,3,35.0
6,4,50.0
6,5,52.0
6,6,51.0
6,7,58.0
6,8,83.0
6,9,133.0
6,10,140.0
6,11,197.0
7,0,186.0
7,1,207.0
7,2,159.0
7,3,154.0
7,4,138.0
7,5,152.0
7,6,208.0
7,7,236.0
7,8,237.0
7,9,274.0
7,10,260.0
7,11,315.0
8,0,388.0
8,1,372.0
8,2,462.0
8,3,432.0
8,4,492.0
8,5,484.0
8,6,426.0
8,7,437.0
8,8,521.0
8,9,484.0
8,10,512.0
8,11,320.0
9,0,284.0
9,1,339.0
9,2,296.0
9,3,245.0
9,4,245.0
9,5,209.0
9,6,201.0
9,7,159.0
9,8,138.0
9,9,130.0
9,10,170.0
9,11,120.0
10,0,100.0
10,1,106.0
10,2,96.0
10,3,105.0
10,4,104.0
10,5,92.0
10,6,98.0
10,7,107.0
10,8,94.0
10,9,102.0
10,10,58.0
10,11,92.0
11,0,105.0
11,1,75.0
11,2,98.0
11,3,94.0
11,4,77.0
11,5,83.0
11,6,82.0
11,7,82.0
11,8,81.0
11,9,79.0
11,10,88.0
11,11,84.0
12,0,80.0
12,1,80.0
12,2,86.0
12,3,92.0
12,4,97.0
12,5,71.0
12,6,90.0
12,7,80.0
12,8,65.0
12,9,105.0
12,10,109.0
12,11,72.0
13,0,94.0
13,1,88.0
13,2,103.0
13,3,91.0
13,4,92.0
13,5,100.0
13,6,81.0
13,7,97.0
13,8,86.0
13,9,85.0
13,10,80.0
13,11,84.0
14,0,70.0
14,1,68.0
14,2,101.0
14,3,69.0
14,4,69.0
14,5,52.0
14,6,97.0
14,7,84.0
14,8,63.0
14,9,102.0
14,10,79.0
14,11,89.0
15,0,83.0
15,1,103.0
15,2,179.0
15,3,127.0
15,4,115.0
15,5,131.0
15,6,91.0
15,7,87.0
15,8,97.0
15,9,91.0
15,10,112.0
15,11,106.0
16,0,97.0
16,1,112.0
16,2,123.0
16,3,147.0
16,4,109.0
16,5,151.0
16,6,175.0
16,7,152.0
16,8,144.0
16,9,192.0
16,10,201.0
16,11,256.0
17,0,229.0
17,1,312.0
17,2,275.0
17,3,222.0
17,4,237.0
17,5,220.0
17,6,238.0
17,7,331.0
17,8,356.0
17,9,322.0
17,10,309.0
17,11,261.0
18,0,263.0
18,1,322.0
18,2,373.0
18,3,344.0
18,4,282.0
18,5,308.0
18,6,267.0
18,7,245.0
18,8,252.0
18,9,233.0
18,10,212.0
18,11,173.0
19,0,214.0
19,1,204.0
19,2,175.0
19,3,140.0
19,4,132.0
19,5,120.0
19,6,121.0
19,7,118.0
19,8,121.0
19,9,112.0
19,10,97.0
19,11,108.0
20,0,95.0
20,1,93.0
20,2,90.0
20,3,99.0
20,4,80.0
20,5,86.0
20,6,71.0
20,7,89.0
20,8,59.0
20,9,105.0
20,10,68.0
20,11,63.0
21,0,100.0
21,1,85.0
21,2,81.0
21,3,73.0
21,4,77.0
21,5,55.0
21,6,94.0
21,7,75.0
21,8,59.0
21,9,60.0
21,10,76.0
21,11,55.0
22,0,54.0
22,1,47.0
22,2,62.0
22,3,51.0
22,4,76.0
22,5,52.0
22,6,44.0
22,7,31.0
22,8,40.0
22,9,29.0
22,10,24.0
22,11,30.0
23,0,16.0
23,1,20.0
23,2,12.0
23,3,5.0
23,4,3.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
